factory,pool,token_x,token_y,bin_step,creation_block
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x0142b6a053a1c5139fb84dd59f087b48f9cb89fb,0x5844a46276900aa30551aa50490cf4fbb57caf31,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,86080552
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x01691d6f16551e92754d1eff939a7d57e399e478,0xc96de26018a54d51c097160568752c4e3bd6c364,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,50,74667960
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x01fa20ae3f75d7aeb17c7b484bcf80d496018438,0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,70524254
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x03b589e01c92c3f1be62cacea39341ebfb7ab704,0xcabae6f6ea1ecab08ad02fe02ce9a44f09aebfa2,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,66666121
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x03beafc0d25bb553fca274301832419c05269987,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x779ded0c9e1022225f8e0630b35a9b54be713736,100,90824058
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x04a2785e9541c256cc23ec999fc83a91274ee3b9,0x1ca1050c5b6506cc97fa4ae32b6685af2021bafd,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,71811644
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x0680d0cda11093d6e5f66cbb14b9339cfe505616,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0x779ded0c9e1022225f8e0630b35a9b54be713736,25,90824058
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x076990881b4901752db5d7887eb2cafa27af9ce8,0x7796f4e23a62ef3653829c21032a9e24beaf4cf5,0x779ded0c9e1022225f8e0630b35a9b54be713736,50,97652957
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x0888b5571c97336c9d2b7ea323ffbf3871f54d22,0xc96de26018a54d51c097160568752c4e3bd6c364,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,50,76579209
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x0bc7500905a8d9fec5b6c36ae74e7627178cd067,0xde14068ea7d963bd3b36c7c0250d81b59e2b51d9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,100,85943534
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x0d4da490a564b5e430c6717e2f794bd94eb642ff,0x26a6b0dcdcfb981362afa56d581e4a7dba3be140,0xcda86a272531e8640cd7f1a92c01839911b90bb0,25,64383996
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x0e70c050d81e8d328694c9557af989610a411c45,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,5,72555602
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x118e6794a2f8b2368304ab7bd5c426dcec06ec80,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,50,87227294
0xa6630671775c4ea2743840f9a5016dcf2a104054,0x121c519b1fe2d15d982f16bc2fa9f29b5cc11d13,0x9f0c013016e8656bc256f948cd4b79ab25c7b94d,0xcda86a272531e8640cd7f1a92c01839911b90bb0,25,71030833
