protocol,factory,pool,token0,token1,fee_tier,bin_step,creation_block
agni-v2,0xe5020961fa51ffd3662cdf307def18f9a87cce7c,0x3e5922cd0cec71dc2d60ec8b36aa4c05b7c1672f,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v2,0xe5020961fa51ffd3662cdf307def18f9a87cce7c,0x545c3e7c17891b5ad450cb3a2c3f78d310bbc243,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v2,0xe5020961fa51ffd3662cdf307def18f9a87cce7c,0xd0415fa1725c9274d85b07ec2ceec9551c8dc027,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v2,0xe5020961fa51ffd3662cdf307def18f9a87cce7c,0xec3757666d6f218d9550976bcc7b7331d4dfd169,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x1858d52cf57c07a018171d7a1e68dc081f17144f,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x36a7aff497eef6a9cd7d0e7bc243793fcb3e57e2,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x3812a474e1b7610d05a947bb0940210a2d0f6823,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x425732f412f2a922156cf3c135a516c18f977cc1,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x4f9e3683a523b66da89d82bba0a9caa1c3243df4,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x54169896d28dec0ffabe3b16f90f71323774949f,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x551d49f0a9c3d5293293e12f36b210e0124dd4e7,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x6488f911c6cd86c289aa319c5a826dcf8f1ca065,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x78b54c2bc2c5ad8f744915d481e5caaff0c6c8c2,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x7b3a4b36b0c5c95142afcd1b883ed055aa166f85,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x8e2c009e45420d2b36bc15315f9de8ceca2cc724,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x94d692afff21e045691971a20df4a9adb482ddf6,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x9cae9b5d0ee7e78dfd7e42fd995d4974d6907242,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x9ec313ff05946b6f3860a99b470625abba7eb0a2,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xbcf99c834e65e8a58090e20edc058279317865bd,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xcb893a28933a89b5c4ee3d02ca37524d3d0bfc97,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xd08c50f7e69e9aeb2867deff4a8053d9a855e26a,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0xd34292f7585ac5a518c5ceb2d674d1423ad0569f,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x03beafc0d25bb553fca274301832419c05269987,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x779ded0c9e1022225f8e0630b35a9b54be713736,,100,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x0e70c050d81e8d328694c9557af989610a411c45,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,5,72555602
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1606c79be3ebd70d8d40bac6287e23005cfbefa2,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,10,69701772
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x16c382c154dcf71e0110ee0c2b83f5982cb0c58c,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x779ded0c9e1022225f8e0630b35a9b54be713736,,10,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1f20f0895df44d33cf8144a52de811871a21ef4b,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,1,70423468
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x1f9d94c13c9d9a3b67d62c15df9d135321c741ea,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,10,71044526
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x2093a6fd094124a55f180dcea5033c3bf481100e,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x779ded0c9e1022225f8e0630b35a9b54be713736,,1,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x365722f12ceb2063286a268b03c654df81b7c00f,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,25,62270011
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x368b148052a1a775dbe70e56d04474e54c694cac,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x779ded0c9e1022225f8e0630b35a9b54be713736,,1,90824058
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x38e2a053e67697e411344b184b3abae4fab42cc2,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,20,72555602
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3b6c029e6409f2868769871f9ed6825b15bdca15,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,2,62270011
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3d887ce4988fb46aec6e0027171f65db3526e5f1,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,1,70423468
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x3f0047606dcad6177c13742f1854fc8c999cd2b6,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,10,63567523
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x451368c461f9f4a70c434576b31ed5f258e765f5,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,100,69427042
moe,0xa6630671775c4ea2743840f9a5016dcf2a104054,0x48c1a89af1102cad358549e9bb16ae5f96cddfec,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,1,62270011
