measuring at chain_id=5000 block=98969898 block_hash=0x77e9802850e09580e8527b3ea75ed93510331e91339b8272af4ed5660ef76374 executor_code_hash=0x50f51b776f893c4c86573ec5d669a1be3e84b3eef9817960376ba59ace2826ef
provenance: {"git_head":"2cb5ecf4f6ae0fc871ba24172d0580d658b7b094","git_dirty":false,"started_at_unix":1790414625,"chain_id":5000,"block_number":98969898,"block_hash":"0x77e9802850e09580e8527b3ea75ed93510331e91339b8272af4ed5660ef76374","executor_code_hash":"0x50f51b776f893c4c86573ec5d669a1be3e84b3eef9817960376ba59ace2826ef","rpc_url_class":"https://rpc.mantle.xyz","measure_rpc_url_class":"http://127.0.0.1:8547","rpc_timeout_secs":120,"cycles_per_topology":3,"resume":false,"campaign_finalize":false,"dry_run":false}
campaign: 900 executable cycles over 32 topologies (54 non-Agni V3 pools excluded: no agniSwapCallback)
syncing 5 v2 / 19 v3 / 24 moe pools at block 98969898
moe+moe 10mWMNT inflate -> h2:moe+moe:bins=0 success
moe+moe 30mWMNT inflate -> h2:moe+moe:bins=0 success
moe+moe 100mWMNT inflate -> h2:moe+moe:bins=0 success
moe+moe 300mWMNT inflate -> h2:moe+moe:bins=0 success
moe+moe 1000mWMNT inflate -> h2:moe+moe:bins=0 success
moe+moe 3000mWMNT inflate -> h2:moe+moe:bins=0 success
moe+moe 10000mWMNT inflate -> h2:moe+moe:bins=0 success
moe+moe+v2 10mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 30mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 100mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 300mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 1000mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 3000mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 10000mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 10mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 30mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 100mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 300mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 1000mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 3000mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v2 10000mWMNT v2_boost -> h3:moe+moe+v2:bins=0 success
moe+moe+v3 10mWMNT inflate -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 10mWMNT displace -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 30mWMNT inflate -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 30mWMNT displace -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 100mWMNT inflate -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 100mWMNT displace -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 300mWMNT inflate -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 300mWMNT displace -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 1000mWMNT inflate -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 1000mWMNT displace -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 3000mWMNT inflate -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 3000mWMNT displace -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 10000mWMNT inflate -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+moe+v3 10000mWMNT displace -> h3:moe+moe+v3:ticks=0:bins=0 success
moe+v2 10mWMNT v2_boost -> h2:moe+v2:bins=1-3 success
moe+v2 30mWMNT v2_boost -> h2:moe+v2:bins=1-3 success
moe+v2 100mWMNT v2_boost -> h2:moe+v2:bins=4-10 success
moe+v2 300mWMNT v2_boost -> h2:moe+v2:bins=11+ success
moe+v2+moe 10mWMNT v2_boost -> h3:moe+v2+moe:bins=0 success
