protocol,factory,pool,token0,token1,fee_tier,bin_step,creation_block
agni-v2,0xe5020961fa51ffd3662cdf307def18f9a87cce7c,0x3e5922cd0cec71dc2d60ec8b36aa4c05b7c1672f,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v2,0xe5020961fa51ffd3662cdf307def18f9a87cce7c,0x545c3e7c17891b5ad450cb3a2c3f78d310bbc243,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v2,0xe5020961fa51ffd3662cdf307def18f9a87cce7c,0xd0415fa1725c9274d85b07ec2ceec9551c8dc027,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0x01845ec86909006758de0d57957d88da10bf5809,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x0d922fb1bc191f64970ac40376643808b4b74df9,0x076eb72e74c16b208c692eeab3750978d76b8f28,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x0d290c8e7f3ffa5267de4b1f9f6f6d8d578624ac,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x779ded0c9e1022225f8e0630b35a9b54be713736,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x0d9e39d357337edde4a9bc12178da40256e2f533,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,0xe6829d9a7ee3040e1276fa75293bde931859e8fa,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0x11456b1622f2bdbbe54380b1f17d9ef71ad4e555,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0x16867d00d45347a2ded25b8cdb7022b3171d4ae0,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x1858d52cf57c07a018171d7a1e68dc081f17144f,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x636ea278699a300d3a849ab2ce36c891c4ee3da0,0x1b03630817c64cf69fc4bcbc70bc3acba1d63ce3,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0x238a4039117eddb6237ace11c2e30165bb090239,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x530d2766d1988cc1c000c8b7d00334c14b69ad71,0x262255f4770aebe2d0c8b97a46287dcecc2a0aff,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0x2990329977cc31666c13d559ccd146f596bd5c5c,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0x2b5cb88e1480f4ccb69e85436084a0cd36686179,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x0d922fb1bc191f64970ac40376643808b4b74df9,0x2c7c187e3990053c265f8a8d599b4323c6239ae8,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x36a7aff497eef6a9cd7d0e7bc243793fcb3e57e2,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x36f66548cda219c6fc037037cee063b9f28b13ef,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x779ded0c9e1022225f8e0630b35a9b54be713736,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x373c05fbe686fa1f3abf5e37ac74c4fac73d2e95,0x779ded0c9e1022225f8e0630b35a9b54be713736,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x3812a474e1b7610d05a947bb0940210a2d0f6823,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0x3fad6235f42e64fe0771031bb5917831f2d0acac,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x425732f412f2a922156cf3c135a516c18f977cc1,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x0d922fb1bc191f64970ac40376643808b4b74df9,0x48ef5640e71001cac842f5627a0bfec1ef09deb7,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x4f9e3683a523b66da89d82bba0a9caa1c3243df4,0xcda86a272531e8640cd7f1a92c01839911b90bb0,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x5133b772759a778ce2c39b640b7fa21544b129f6,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,0x779ded0c9e1022225f8e0630b35a9b54be713736,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x540631a747f47112afc1667bdeaa4265ba52a7b5,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x54169896d28dec0ffabe3b16f90f71323774949f,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x551d49f0a9c3d5293293e12f36b210e0124dd4e7,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x560d064493de5a23e72ed916caf92ec6e8924948,0x111111d2bf19e43c34263401e0cad979ed1cdb61,0x779ded0c9e1022225f8e0630b35a9b54be713736,,,
agni-v3,0x0d922fb1bc191f64970ac40376643808b4b74df9,0x5d637c5c1ddda97fc6115fa68ca66e444c0f2686,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xcda86a272531e8640cd7f1a92c01839911b90bb0,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x628f7131cf43e88ebe3921ae78c4ba0c31872bd4,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x6488f911c6cd86c289aa319c5a826dcf8f1ca065,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0x67f1e667ac60786b714b3d68a5ac35cc90441b73,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,0xdeaddeaddeaddeaddeaddeaddeaddeaddead1111,,,
agni-v3,0x25780dc8fc3cfbd75f33bfdab65e969b603b2035,0x6844209ce498ab6f02f1e5702c1f5c82ef564134,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x699075c242a6e792587f4fa6153e97768761c234,0x111111d2bf19e43c34263401e0cad979ed1cdb61,0x78c1b0c915c4faa5fffa6cabf0219da63d7f4cb8,,,
agni-v3,0xf883162ed9c7e8ef604214c964c678e40c9b737c,0x76844372b34442f55e5b973699dc9899bdf8b909,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x779ded0c9e1022225f8e0630b35a9b54be713736,,,
agni-v3,0xeeca0a86431a7b42ca2ee5f479832c3d4a4c2644,0x785153bfe24f49e1ca09f5b5d55b9f7a7efbddf0,0x09bc4e0d864854c6afb6eb9a9cdf58ac190d0df9,0x201eba5cc46d216ce6dc03f6a759e8e766e956ae,,,
