block_number,pool_address,event,sqrt_price_x96,liquidity,tick
85707346,0xb1ab8372d62bf35e655477568bdb72f32b13738f,init,78938385949227334462516142789,362898269,-74
85707346,0x8b4e2134d1f3da64f9cc044152bf8ee121bb24ce,init,79297949687772746185045643984,28275087540240084015,17
85707346,0xbcf99c834e65e8a58090e20edc058279317865bd,init,79216096321662461597145709418192413,228504581975096749067,276320
85707346,0x36a7aff497eef6a9cd7d0e7bc243793fcb3e57e2,init,79247785933533147976066110189131979,202010012902492125934,276328
85707346,0x6844209ce498ab6f02f1e5702c1f5c82ef564134,init,79206939367308562831623716329,47406138994,-6
85707346,0x6488f911c6cd86c289aa319c5a826dcf8f1ca065,init,79195024710273082233239666297,7731443500056,-9
85707346,0xabc1954cd50c443168e04c2ecdeba89b44f2ff2a,init,79228288895574772993604756960,10144569155208233676,0
85707346,0x20b581f2ba0b5ab90799a0917ce94074767f2e73,init,79210268290414008709860052098597147,2088438737324790,276319
85707346,0xf9b5f2babdd388737be702dd732fb6b6bfe9dc20,init,79238880782794565576753844662,74931176591332778347367,2
85707346,0x78b54c2bc2c5ad8f744915d481e5caaff0c6c8c2,init,82154368520813849106671678807,1067915546308159040,725
85707346,0x94d692afff21e045691971a20df4a9adb482ddf6,init,82195830888085378223005427941,30281258457901192789,735
85707346,0x0d9e39d357337edde4a9bc12178da40256e2f533,init,76360733848252124458176832815,30008663088219638610466,-738
85707346,0x4f9e3683a523b66da89d82bba0a9caa1c3243df4,init,82212318867988251768597258777,15631013254414866744,739
85707346,0x1858d52cf57c07a018171d7a1e68dc081f17144f,init,57345679251865796997587881582388867,522339227097820,269859
85707346,0xcfef46bc49c7502edd960850264b9c2dfe4d75d7,init,76402288740277395253814666129,66837587259803152751,-727
85707346,0x8e2c009e45420d2b36bc15315f9de8ceca2cc724,init,57118360487578363562061001852067538,41795015739943,269779
85707346,0x9cae9b5d0ee7e78dfd7e42fd995d4974d6907242,init,57315341940535592580886576092522523,16189517934497,269848
85707346,0x7b3a4b36b0c5c95142afcd1b883ed055aa166f85,init,57351841426501758238972386688103424,74134732909257,269861
85707346,0xcb893a28933a89b5c4ee3d02ca37524d3d0bfc97,init,56936427559384849902070610849627282,674990984693669,269715
85707346,0x328cfb13c66065240b58bff0ae1ce798fe314ec1,init,56338997464980920142146424344597189,4206316294475,269504
85707346,0x4b96994181cb694f506bdf24a218fe7af64147cb,init,1576728974509635221429100172,1815645198736025524,-78344
85707346,0x813d7f24df644550f824141bcdd8cb1cb0642d06,init,1630679148517435263661183617,153594963170907,-77671
85707346,0xd08c50f7e69e9aeb2867deff4a8053d9a855e26a,init,57236882221421382301193219251349992,662470441111740,269821
85707346,0x3812a474e1b7610d05a947bb0940210a2d0f6823,init,1581783155430161325909074187,17349916097480066238,-78280
85707346,0x928981fe5a4c005a126662d2bd84fbf139b51876,init,1641782715406563023776792373,62693416421054746,-77535
85707346,0x9d5d4064a808ba865957b1d04b20a84175dcc16d,init,1637402091633912084304068430,12874539749665309744,-77589
85707346,0x9ec313ff05946b6f3860a99b470625abba7eb0a2,init,1634166243838458686335918955,21853021248016936543,-77628
85707346,0xd34292f7585ac5a518c5ceb2d674d1423ad0569f,init,1182596674633253216851857034197254,41136321253172,192227
85707346,0xee12e312878b74b2c17d80516128d7868f80365b,init,1177639673033976931154456822688631,67492707778,192143
85707346,0x54169896d28dec0ffabe3b16f90f71323774949f,init,1635810873165119626046227064,8808546878462124185,-77608
85707346,0x425732f412f2a922156cf3c135a516c18f977cc1,init,1179954763866095866473715387197597,706107530637,192182
85707346,0x628f7131cf43e88ebe3921ae78c4ba0c31872bd4,init,1182924032860331108489246674634289,232396505594,192232
85707346,0x540631a747f47112afc1667bdeaa4265ba52a7b5,init,1137210266285804675290826154304133,2718928991715,191444
85707346,0xc81f612980db7a9e5e16c52450f391698f6584cc,init,1554771102314982418951305344738210,56837154857,197700
85707346,0x551d49f0a9c3d5293293e12f36b210e0124dd4e7,init,1139556786202563872714191693601492,124520428764437,191485
85707346,0x8be9c0a3e81f63cc0592302367fc673e6840fa55,init,1576182269334807293506223186,302276906907652240,-78351
85707346,0x95d39c45668d59141dc5bcc940e6c191f1ebb98c,init,1140419647761917788135734352,303483013206043593191421,-84823
85707346,0xeafc4d6d4c3391cd4fc10c85d2f5f972d58c0dd5,init,57294379183200213645908865177,11481636199598368872015320,-6483
85707346,0xaa07390d49d7828779fa403a690e992b08357909,init,79221346444021120958243436404,4127068827,-2
85707346,0x628f6a4b26bde4694ae6208e52d0aa2aff8ed6c1,init,79235056670197662891649744802,61943286785096,1
85707346,0xc4a6cbdcabce6bd3c8109ff81e876aa7bb291b4d,init,76289558817298631278440987934581965,191694987280156,275568
85707346,0x9cd55b03c64b65ba02a1d985caef63046b2d54eb,init,76894338799051080412608316712322238,1375905735146251,275726
85707346,0xe38e3a804ef845e36f277d86fb2b24b8c32b3340,init,74984420669736595062491867516294621,79082946507,275222
